,Price
1309,7025.0
1310,6826.0
1311,7004.0
1312,7345.0
1313,7107.0
1314,6780.0
1315,6673.0
1316,6916.0
1317,7020.0
1318,6918.0
1319,6805.0
1320,6912.0
1321,7355.0
1322,8008.0
1323,8025.0
1324,8241.0
1325,8104.0
1326,8075.0
1327,8085.0
1328,8242.0
1329,8464.0
1330,8820.0
1331,8913.0
1332,8925.0
1333,9325.0
1334,9231.0
1335,8894.0
1336,9228.0
1337,9249.0
1338,9365.0
1339,9304.0
1340,9004.0
1341,9128.0
1342,9387.0
1343,9670.0
1344,9844.0
1345,9658.0
1346,9367.0
1347,9282.0
1348,9210.0
1349,9288.0
1350,8725.0
1351,8438.0
1352,8566.0
1353,8595.0
1354,8652.0
1355,8291.0
1356,8297.0
1357,8115.0
1358,8266.0
1359,8378.0
1360,8476.0
1361,8261.0
1362,7816.0
1363,7551.0
1364,7507.0
1365,7517.0
1366,7346.0
1367,7274.0
1368,7311.0
1369,7454.0
1370,7517.0
1371,7501.0
1372,7615.0
1373,7706.0
1374,7594.0
1375,7513.0
1376,7619.0
1377,7708.0
1378,7650.0
1379,7653.0
1380,7150.0
1381,6767.0
1382,6775.0
1383,6459.0
1384,6515.0
1385,6567.0
1386,6482.0
1387,6534.0
1388,6543.0
1389,6737.0
1390,6698.0
1391,6755.0
1392,6382.0
1393,6146.0
1394,6044.0
1395,6225.0
1396,6233.0
1397,6128.0
1398,6120.0
1399,5935.0
1400,6382.0
1401,6388.0
1402,6479.0
1403,6614.0
1404,6592.0
1405,6602.0
1406,6569.0
1407,6611.0
1408,6759.0
1409,6739.0
1410,6516.0
1411,6400.0
1412,6252.0
1413,6256.0
1414,6253.0
1415,6342.0
1416,6537.0
1417,6889.0
1418,7413.0
1419,7399.0
1420,7430.0
1421,7353.0
1422,7455.0
1423,7681.0
1424,8068.0
1425,8254.0
1426,8199.0
1427,8021.0
1428,8180.0
1429,8206.0
1430,8142.0
1431,7929.0
1432,7580.0
1433,7598.0
1434,7403.0
1435,7260.0
1436,7009.0
1437,7006.0
1438,7000.0
1439,6454.0
1440,6398.0
1441,6414.0
1442,6195.0
1443,6316.0
1444,6356.0
1445,6064.0
1446,6377.0
1447,6351.0
1448,6474.0
1449,6459.0
1450,6412.0
1451,6462.0
1452,6411.0
1453,6592.0
1454,6445.0
1455,6566.0
1456,6731.0
1457,6691.0
1458,6733.0
1459,6997.0
1460,7067.0
1461,6947.0
1462,6994.0
1463,7114.0
1464,7249.0
1465,7269.0
1466,7332.0
1467,7145.0
1468,6442.0
1469,6463.0
1470,6380.0
1471,6308.0
1472,6307.0
1473,6312.0
1474,6287.0
1475,6450.0
1476,6507.0
1477,6523.0
1478,6491.0
1479,6408.0
1480,6307.0
1481,6352.0
1482,6423.0
1483,6667.0
1484,6714.0
1485,6712.0
1486,6645.0
1487,6424.0
1488,6470.0
1489,6528.0
1490,6683.0
1491,6568.0
1492,6610.0
1493,6610.0
1494,6579.0
1495,6484.0
1496,6583.0
1497,6584.0
1498,6598.0
1499,6580.0
