Date,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Cleared Volume (MW),Finale Scheduled Volume (MW),MCP (Rs/MWh)
2020-01-03 01:15:00,5402.6,24753.3,5157.3,4641.8,4641.8,1929.4
2020-01-03 01:30:00,5341.2,25625.5,5102.9,4630.3,4630.3,1919.41
2020-01-03 01:45:00,5339.8,25999.9,5108.8,4629.1,4629.1,1859.79
2020-01-03 02:00:00,5301.5,26487.8,5076.7,4639.5,4639.5,1857.75
2020-01-03 02:15:00,5199.5,26588.4,5000.3,4587.5,4587.5,1801.66
2020-01-03 02:30:00,5203.9,27293.3,5006.8,4591.8,4591.8,1790.85
2020-01-03 02:45:00,5212.4,27491.1,5015.3,4600.3,4600.3,1790.62
2020-01-03 03:00:00,5196.1,27399.0,4999.1,4584.3,4584.3,1790.98
2020-01-03 03:15:00,5192.8,27337.6,4995.8,4580.9,4580.9,1790.62
2020-01-03 03:30:00,5196.7,27260.8,4999.9,4585.3,4585.3,1799.66
2020-01-03 03:45:00,5247.1,27116.2,5026.4,4635.6,4635.6,1838.71
2020-01-03 04:00:00,5321.5,25938.0,5074.6,4709.5,4709.5,1881.56
2020-01-03 04:15:00,5456.4,25399.4,5186.1,4844.4,4844.4,1974.76
2020-01-03 04:30:00,5444.3,25036.7,5174.3,4832.7,4832.7,1999.3
2020-01-03 04:45:00,5588.3,24245.6,5318.3,4876.7,4876.7,1999.83
2020-01-03 05:00:00,5592.5,22709.4,5221.3,4806.18,4806.18,2020.09
2020-01-03 05:15:00,5747.3,20937.4,5154.0,4911.88,4911.88,2269.81
2020-01-03 05:30:00,5946.2,19452.6,5218.7,4983.12,4983.12,2389.27
2020-01-03 05:45:00,5710.6,18806.2,4983.1,4894.28,4894.28,2399.2
2020-01-03 06:00:00,6064.8,16766.8,5715.8,5350.98,5350.98,2643.3
2020-01-03 06:15:00,6384.0,15774.0,6011.8,5301.88,5301.88,2809.57
2020-01-03 06:30:00,6705.1,15788.7,6206.1,5402.28,5402.28,2640.0
2020-01-03 06:45:00,7426.4,15071.0,6772.9,5807.4,5807.4,2929.52
2020-01-03 07:00:00,8334.7,14986.0,7594.4,6453.38,6453.38,2929.53
2020-01-03 07:15:00,8934.8,14608.0,8028.4,6756.88,6756.88,3000.51
2020-01-03 07:30:00,9746.6,13876.9,8672.0,7357.88,7357.88,3099.27
2020-01-03 07:45:00,10785.1,13456.1,9434.0,8278.08,8278.08,3589.16
2020-01-03 08:00:00,11636.0,13702.2,10096.8,9498.28,9498.28,3669.51
2020-01-03 08:15:00,11735.5,13641.9,10177.3,9865.6,9865.6,3669.36
2020-01-03 08:30:00,12075.9,13144.8,10347.3,10225.38,10225.38,3820.34
2020-01-03 08:45:00,12057.0,12321.8,10276.7,10102.3,10102.3,3969.65
2020-01-03 09:00:00,12432.0,12025.0,10156.39,10059.45,10059.45,3800.83
2020-01-03 09:15:00,12744.1,11079.2,10136.2,10042.8,10042.8,4200.74
2020-01-03 09:30:00,12718.9,10976.6,10102.7,10017.4,10017.4,4217.17
2020-01-03 09:45:00,12642.6,10930.2,10126.5,10041.2,10041.2,4217.37
2020-01-03 10:00:00,12697.6,10968.7,10035.7,9954.7,9954.7,4000.03
2020-01-03 10:15:00,12794.1,10889.7,10142.3,10076.7,10076.7,4217.6
2020-01-03 10:30:00,12459.5,10818.5,9880.5,9815.5,9815.5,4000.53
2020-01-03 10:45:00,11868.2,10731.9,9752.25,9687.25,9687.25,3800.22
2020-01-03 11:00:00,11776.5,10785.9,9733.85,9658.24,9658.24,3800.19
2020-01-03 11:15:00,11282.3,10690.4,9401.1,9335.5,9335.5,3669.77
2020-01-03 11:30:00,10983.6,10592.4,9102.8,9037.2,9037.2,3669.92
2020-01-03 11:45:00,10905.0,11163.7,9030.1,9014.5,9014.5,3667.37
2020-01-03 12:00:00,10492.0,11193.6,8736.55,8711.5,8711.5,3600.81
2020-01-03 12:15:00,10136.5,10798.0,8390.94,8355.9,8355.9,3600.52
2020-01-03 12:30:00,9635.8,10950.5,8282.3,8217.6,8217.6,3349.97
2020-01-03 12:45:00,9164.8,10605.7,7917.0,7858.8,7858.8,3249.86
2020-01-03 13:00:00,8677.7,11079.9,7529.2,7464.2,7464.2,3200.42
2020-01-03 13:15:00,8434.5,11143.8,7321.1,7303.1,7303.1,3170.91
2020-01-03 13:30:00,8212.4,11314.4,7122.9,7107.3,7107.3,3099.68
2020-01-03 13:45:00,8130.2,11543.0,7039.7,7024.1,7024.1,3099.58
2020-01-03 14:00:00,8040.5,12421.2,6995.4,6979.8,6979.8,3099.37
2020-01-03 14:15:00,8067.1,12837.6,7011.3,6995.7,6995.7,3099.17
2020-01-03 14:30:00,8176.2,12753.3,7122.2,7106.6,7106.6,3099.22
2020-01-03 14:45:00,8098.4,12833.6,7052.0,7026.4,7026.4,3070.7
2020-01-03 15:00:00,8021.5,12734.5,6996.1,6980.5,6980.5,3049.07
2020-01-03 15:15:00,8108.5,12394.0,7059.5,7050.0,7050.0,3070.59
2020-01-03 15:30:00,8169.1,12098.8,7101.7,7086.1,7086.1,3099.22
2020-01-03 15:45:00,8336.4,11892.4,7267.1,7251.5,7251.5,3099.73
2020-01-03 16:00:00,8797.2,12271.9,7691.9,7645.4,7645.4,3100.04
2020-01-03 16:15:00,9297.9,12142.4,7881.1,7796.6,7796.6,3500.05
2020-01-03 16:30:00,9585.1,12240.6,7934.6,7919.0,7919.0,3619.0
2020-01-03 16:45:00,10049.2,12615.6,8397.5,8381.9,8381.9,3669.6
2020-01-03 17:00:00,9592.7,13005.5,8670.2,8645.7,8645.7,3150.53
2020-01-03 17:15:00,9338.4,13164.5,8472.0,8456.4,8456.4,3099.97
2020-01-03 17:30:00,9300.9,13315.7,8441.6,8426.0,8426.0,3099.0
2020-01-03 17:45:00,9214.0,13172.6,8354.7,8339.1,8339.1,3099.14
2020-01-03 18:00:00,8883.2,11952.7,8250.0,8187.7,8187.7,3249.98
2020-01-03 18:15:00,8850.0,12329.1,8287.4,8269.4,8269.4,3099.7
2020-01-03 18:30:00,8823.3,12962.2,8280.4,8261.3,8261.3,3059.84
2020-01-03 18:45:00,8494.6,13300.1,7951.7,7936.1,7936.1,3019.58
2020-01-03 19:00:00,8479.6,13375.2,7936.2,7920.6,7920.6,3019.79
2020-01-03 19:15:00,8924.8,13098.8,8377.9,8362.3,8362.3,3099.55
2020-01-03 19:30:00,9054.5,13200.6,8508.6,8489.6,8489.6,3099.9
2020-01-03 19:45:00,9266.9,13435.9,8656.8,8616.0,8616.0,3199.55
2020-01-03 20:00:00,9363.6,13870.7,8722.85,8690.4,8690.4,3200.33
2020-01-03 20:15:00,9120.4,14632.7,8502.2,8480.9,8480.9,3099.97
2020-01-03 20:30:00,8586.9,15380.0,7972.2,7956.6,7956.6,3019.88
2020-01-03 20:45:00,8310.5,16236.4,7694.8,7679.2,7679.2,3019.35
2020-01-03 21:00:00,7290.7,16664.4,6824.18,6766.27,6766.27,2900.64
2020-01-03 21:15:00,6560.0,16956.2,6133.5,6102.79,6102.79,2799.85
2020-01-03 21:30:00,5520.1,17173.1,5111.5,5095.9,5095.9,2639.05
2020-01-03 21:45:00,5105.4,17602.3,4695.8,4680.2,4680.2,2504.42
2020-01-03 22:00:00,4338.0,18097.0,3753.1,3744.2,3744.2,2293.98
2020-01-03 22:15:00,4082.5,18175.3,3558.86,3558.84,3558.84,2250.26
2020-01-03 22:30:00,4011.4,18767.1,3608.8,3608.8,3608.8,2023.01
2020-01-03 22:45:00,4455.7,19110.3,3780.84,3780.81,3780.81,2300.46
2020-01-03 23:00:00,4444.1,20121.3,4075.4,4059.8,4059.8,2039.81
2020-01-03 23:15:00,4458.0,20326.6,4089.2,4073.6,4073.6,2038.64
2020-01-03 23:30:00,4577.1,20524.5,4205.4,4189.8,4189.8,2030.62
2020-01-03 23:45:00,4558.9,20910.6,4260.6,4245.0,4245.0,1999.7
2020-01-04 00:00:00,4535.1,20163.0,4279.8,4279.8,4279.8,1999.12
2020-01-04 00:15:00,4431.5,20701.5,4176.2,4176.2,4176.2,1999.02
2020-01-04 00:30:00,4432.6,21561.2,4187.6,4187.6,4187.6,1942.76
2020-01-04 00:45:00,4428.9,22126.0,4183.9,4183.9,4183.9,1942.38
2020-01-04 01:00:00,4174.3,23754.5,3963.5,3963.5,3963.5,1845.39
2020-01-04 01:15:00,4139.4,23893.9,3971.9,3971.9,3971.9,1799.6
2020-01-04 01:30:00,4070.1,24765.1,3902.4,3902.4,3902.4,1791.29
2020-01-04 01:45:00,4023.5,25042.4,3857.6,3857.6,3857.6,1751.05
2020-01-04 02:00:00,4006.2,25611.4,3864.5,3864.5,3864.5,1691.79
2020-01-04 02:15:00,4004.0,25684.9,3862.3,3862.3,3862.3,1662.2
2020-01-04 02:30:00,4008.9,26354.8,3867.2,3867.2,3867.2,1658.06
2020-01-04 02:45:00,4014.2,26324.6,3877.5,3877.5,3877.5,1614.08
2020-01-04 03:00:00,4000.1,26368.9,3891.7,3891.7,3891.7,1611.93
2020-01-04 03:15:00,3998.3,26520.5,3917.3,3917.3,3917.3,1550.01
2020-01-04 03:30:00,4000.7,26477.7,3892.3,3892.3,3892.3,1612.93
2020-01-04 03:45:00,4001.9,26563.1,3893.5,3893.5,3893.5,1614.09
2020-01-04 04:00:00,4071.5,25884.4,3919.8,3919.8,3919.8,1662.23
2020-01-04 04:15:00,4160.0,25506.8,3996.9,3996.9,3996.9,1791.21
2020-01-04 04:30:00,4193.6,24390.0,4018.6,4018.6,4018.6,1799.87
2020-01-04 04:45:00,4385.5,23728.9,4156.1,4156.1,4156.1,1942.49
2020-01-04 05:00:00,4458.7,20871.6,4214.7,4214.7,4214.7,1945.27
2020-01-04 05:15:00,4104.9,18622.3,3860.9,3860.9,3860.9,1923.91
2020-01-04 05:30:00,4067.9,17754.2,3817.9,3817.9,3817.9,1999.12
2020-01-04 05:45:00,4424.3,17046.3,4174.3,4174.3,4174.3,1999.55
2020-01-04 06:00:00,4864.8,15427.8,4810.9,4810.9,4810.9,1999.89
2020-01-04 06:15:00,5515.6,15343.6,4974.96,4974.96,4974.96,2499.88
2020-01-04 06:30:00,5788.7,15391.5,5176.7,5176.7,5176.7,2600.22
2020-01-04 06:45:00,6175.2,14831.9,5378.1,5378.1,5378.1,2689.46
2020-01-04 07:00:00,7423.1,14899.3,6310.03,6310.03,6310.03,2800.5
